partition_size,¡ý business_context_purity,¡ýinter_call_percentage,¡üstructural_modularity,¡ücohesion,¡ýcoupling*NED,¡ümodular_quality,¡ýinterface_number,¡ýnon_extreme_distribution
3,3.258,0.236,0.024,0.068555959,0,1.79,6,0
5,2.991,0.358,0.116,0.162768245,0.005035385,3.132,5,0.108
7,3.332,0.441,0.083,0.127346781,0.010848214,3.313,4.143,0.243
9,2.846,0.415,0.081,0.108673605,0.006804545,3.608,3.222,0.243
11,2.836,0.55,0.071,0.114667079,0.02008125,3.742,3.091,0.459
13,2.825,0.639,0.049,0.085502137,0.023511227,3.225,3,0.649
15,2.771,0.59,0.053,0.107407407,0.03648254,3.725,2.467,0.676
17,2.631,0.591,0.041,0.093804188,0.043186129,4.055,2.176,0.811
partition_size,¡ý business_context_purity,¡ýinter_call_percentage,¡üstructural_modularity,¡ücohesion,¡ýcoupling*NED,¡ümodular_quality,¡ýinterface_number,¡ýnon_extreme_distribution
3,3.258,0.236,0.024,0.0685559590875728,0.0,1.79,6.0,0.0
5,2.991,0.358,0.116,0.1627682445759369,0.005035384615384615,3.132,5.0,0.108
7,3.246,0.375,0.11,0.1415035273368607,0.006822857142857144,3.687,3.714,0.216
9,2.862,0.503,0.072,0.10250958357018963,0.010636363636363635,3.219,3.556,0.351
11,2.774,0.479,0.083,0.12373737373737374,0.017623636363636366,3.954,2.909,0.432
13,2.6189999999999998,0.555,0.062,0.0852136752136752,0.01403165954415955,3.286,2.769,0.595
15,2.6399999999999997,0.555,0.042,0.07520786092214664,0.021608805744520027,3.286,2.4,0.649
17,2.67,0.639,0.009,0.06947712418300653,0.042271895424836566,3.438,2.353,0.703
